lambda,ext_fraction,delay_signature,mean_G_depth,std_ext
0.000000,0.554200,0.027898,1.100938,0.427706
0.020000,0.555300,0.024465,1.101675,0.436431
0.040000,0.552380,0.026969,1.105398,0.437292
0.060000,0.554820,0.026533,1.104250,0.437016
0.080000,0.553180,0.028251,1.103764,0.440564
0.100000,0.595280,0.200926,1.139094,0.544917
0.120000,0.597400,0.203891,1.141815,0.548179
0.140000,0.608940,0.221378,1.137124,0.556283
0.160000,0.608500,0.224681,1.139556,0.559753
0.180000,0.674960,0.407959,1.234621,0.669044
0.200000,0.673400,0.410057,1.235402,0.668738
0.220000,0.674380,0.407724,1.232510,0.673601
0.240000,0.677400,0.410521,1.235282,0.672555
0.260000,0.823160,0.874633,1.517494,0.848002
0.280000,0.824260,0.879709,1.520928,0.848441
0.300000,0.820080,0.883334,1.525046,0.858038
0.320000,0.822260,0.886235,1.525381,0.857854
0.340000,0.822180,0.879510,1.519302,0.852825
0.360000,0.823600,0.891797,1.527513,0.864451
0.380000,0.821640,0.894640,1.534103,0.862569
0.400000,0.824160,0.892257,1.532809,0.861948
0.420000,0.822520,0.872498,1.515611,0.852987
0.440000,0.822380,0.880577,1.520489,0.848183
0.460000,0.825700,0.878943,1.519826,0.849864
0.480000,0.821660,0.879557,1.517416,0.849283
0.500000,0.888240,37.361773,37.942696,19.333308
0.520000,0.889240,37.469498,38.055373,19.276452
0.540000,0.887980,37.312524,37.894998,19.373686
0.560000,0.886420,37.328586,37.909704,19.360754
0.580000,0.886820,37.457263,38.036467,19.285832
0.600000,0.856100,37.532750,38.161103,19.221472
0.620000,0.858180,37.580204,38.206111,19.193465
0.640000,0.854420,37.212124,37.842934,19.425192
0.660000,0.852480,37.412410,38.042816,19.303750
0.680000,0.855260,37.458830,38.085354,19.262619
0.700000,0.858120,37.476919,38.106862,19.257935
0.720000,0.858800,37.350505,37.969259,19.339390
0.740000,0.857940,37.317189,37.938644,19.366547
0.760000,0.887440,37.663173,20.418124,18.997348
0.780000,0.888940,37.779026,20.435395,18.917050
0.800000,0.884700,37.756920,20.422878,18.938506
0.820000,0.889380,37.756617,20.451326,18.971185
0.840000,0.888820,37.698231,20.346482,19.000033
0.860000,0.885940,37.623386,20.359686,19.071453
0.880000,0.884880,37.784130,20.454141,18.933006
0.900000,0.885820,37.687667,20.388950,19.002488
0.920000,0.730900,8.734356,6.618936,20.189985
0.940000,0.728100,8.777536,6.604780,20.156162
0.960000,0.728340,8.558816,6.574155,20.204186
0.980000,0.730300,8.398742,6.574367,20.219741
1.000000,0.727860,8.717743,6.636276,20.196224
