t0,sigma,val,kv,ratio,nearest_z,passes
8,0.5,1.22981,0.92921,1.3235,6.135,True
11,0.5,1.34187,0.9179,1.4619,3.135,True
17,0.5,1.75381,0.9035,1.9411,2.865,True
23,0.5,1.15057,0.89406,1.2869,1.978,True
28,0.5,2.089,0.88811,2.3522,2.425,True
50,0.551,0.33151,0.87138,0.3804,0.226,False
56,0.768,0.95203,0.86824,1.0965,0.446,True
62,0.5,1.81633,0.86544,2.0987,1.168,True
68,0.5,0.97562,0.86293,1.1306,0.92,True
71,0.5,1.34059,0.86176,1.5556,1.067,True
74,0.5,2.23314,0.86065,2.5947,1.705,True
80,0.5,1.40804,0.85856,1.64,0.663,True
85,0.597,0.54708,0.85695,0.6384,0.265,False
90,0.5,2.15173,0.85544,2.5153,1.191,True
100,0.5,1.6914,0.85267,1.9836,1.169,True
110,0.5,1.87884,0.8502,2.2099,1.03,True
120,0.5,1.6957,0.84795,1.9998,1.209,True
130,0.802,0.65239,0.8459,0.7712,0.421,False
140,0.62,0.39485,0.84402,0.4678,0.264,False
150,0.506,0.0907,0.84227,0.1077,0.054,False
160,0.5,1.41344,0.84065,1.6814,1.15,True
170,0.517,0.19242,0.83913,0.2293,0.088,False
180,0.517,0.29892,0.83771,0.3568,0.084,False
190,0.5,1.78257,0.83637,2.1313,0.584,True
200,0.5,2.95793,0.83511,3.542,1.265,True
