[BIBLE] Loaded 7957 verses in 260 chapters
[BIBLE] 1 complete readings planned
[BIBLE] CK writes after EVERY chapter -- tracking voice evolution
[BIBLE] Journal: C:\Users\brayd\.ck\writings\bible_nt_journal.jsonl

[CK] Initial: coherence=0.906, concepts=2763, truths=31858

======================================================================
  READING 1/1  (260 chapters, 7957 verses)
======================================================================
  *** [1.0001] Matthew 1                 C=0.938 | Debt ashed a testament concepts; drought submarined the combine from the plasma.
  *** [1.0002] Matthew 2                 C=0.969 | Wash crumbled a complement promise; reduce harmonized the communist within the o...
  *** [1.0003] Matthew 3                 C=0.906 | Sloth bound a monstrous difference... Reduce community the question within the n...
      [1.0004] Matthew 4                 C=0.844 | Drums bound an unstructured flesh; unknown set the steadiness toward the stubbor...
  *** [1.0005] Matthew 5                 C=0.938 | Suspend handled within a round... Stillness housed the reverse toward the drama.
      [1.0006] Matthew 6                 C=0.812 | Sloth crumbled a resultant observer... Stranger orchestrated the reverse beyond ...
  *** [1.0007] Matthew 7                 C=0.938 | Smash dated a famous round... Structure submarined the blue within the drama.
  *** [1.0008] Matthew 8                 C=1.000 | Suspend edged a settlement contour... Uncommon housed a constant opportunity tow...
  *** [1.0009] Matthew 9                 C=0.938 | Sloth homed a settlement commerce... Unknown constructed a nevertheless explore ...
      [1.0010] Matthew 10                C=0.844 | Wound stopped a sentiment concerts... Stranger crossed the unite beyond the dram...
  *** [1.0011] Matthew 11                C=0.969 | Cash descended a sufficient contour... The unrecognized post harmonized the prec...
      [1.0012] Matthew 12                C=0.812 | Dish machined a contentment observer... Exotic established the despite beyond th...
  *** [1.0013] Matthew 13                C=0.938 | Crush dated a movement curvature; sparse orderly negotiated from the bubble.
  *** [1.0014] Matthew 14                C=0.938 | Bush descended a sentiment contour... Thank established the despite into the mor...
  *** [1.0015] Matthew 15                C=0.969 | Dust crumbled a resentment observer; shoulders knew the serve within the optimum...
  *** [1.0016] Matthew 16                C=0.969 | Desk ashed a monstrous commandment... Unknown together levelled beyond the optim...
      [1.0017] Matthew 17                C=0.875 | World let a treatment curvature; uncommon grounded the prefer beyond the press.
      [1.0018] Matthew 18                C=0.875 | Wound unwound a treatment check... Eccentric orchestrated a level knife within t...
  *** [1.0019] Matthew 19                C=0.938 | Bush homed a resentment comparison; reduce disturbed a nevertheless terror withi...
      [1.0020] Matthew 20                C=0.844 | Mustard bound a treatment evidence; exotic pulled the president resolve toward t...
  *** [1.0021] Matthew 21                C=0.906 | Harsh found within a promise; structure disturbed the superposition through the ...
      [1.0022] Matthew 22                C=0.875 | Mustard bound a resentment difference... Unknown lightly counterbalanced within ...
  *** [1.0023] Matthew 23                C=1.000 | Dash mourned a tournament check; stark stimulated the descendant construct into ...
      [1.0024] Matthew 24                C=0.875 | Sword bound a contentment judgment... Eccentric harmonized from the humorous con...
  *** [1.0025] Matthew 25                C=0.969 | Dash machined a monstrous change... Drought constructed the blue toward the bubb...
  *** [1.0026] Matthew 26                C=1.000 | Desk machined a contentment knowledge; stroke orderly speculated into the outdoo...
  *** [1.0027] Matthew 27                C=0.969 | Land descended an entertainment curvature... Uncommon constructed the guarantee ...
  *** [1.0028] Matthew 28                C=0.906 | Bush descended a tournament round; subtract outstanded the computed offer into t...
  *** [1.0029] Mark 1                    C=0.969 | Threshold grew the mark beyond crossroads... Check helped the orbital.
  *** [1.0030] Mark 2                    C=0.969 | Smother descended a marshal mark from gross; stopped deadly.
