level,operator,operator_name,aperture,pressure,depth,binding,continuity,d2_magnitude,master_lemma_defect,lens_mismatch,coherence_action,coherence_band,collapse_distance,step_hash
0,0,VOID,1.000000,0.100000,0.253086,0.590616,0.250000,0.000000,0.000000,0.000000,0.439000,YELLOW,0.275286,f2d48729fd176832
1,0,VOID,1.000000,0.100000,0.253086,0.590616,0.250000,0.000000,0.000000,0.000000,0.439000,YELLOW,0.275286,4077b11265d1ed90
2,0,VOID,1.000000,0.100000,0.253086,0.590616,0.250000,0.000000,0.000000,0.000000,0.439000,YELLOW,0.275286,205e09c15850d230
3,0,VOID,1.000000,0.100000,0.253086,0.590616,0.250000,0.000000,0.000000,0.000000,0.439000,YELLOW,0.275286,9d558eaa3f2861c7
4,0,VOID,1.000000,0.100000,0.253086,0.590616,0.250000,0.000000,0.000000,0.000000,0.439000,YELLOW,0.275286,58328792fecc56dc
5,0,VOID,1.000000,0.100000,0.253086,0.590616,0.250000,0.000000,0.000000,0.000000,0.439000,YELLOW,0.275286,955ac760243b0ba0
6,0,VOID,1.000000,0.100000,0.253086,0.590616,0.250000,0.000000,0.000000,0.000000,0.439000,YELLOW,0.275286,49c04c0bb9a755c7
7,0,VOID,1.000000,0.100000,0.253086,0.590616,0.250000,0.000000,0.000000,0.000000,0.439000,YELLOW,0.275286,24c2898d96da56fd
8,0,VOID,1.000000,0.100000,0.253086,0.590616,0.250000,0.000000,0.000000,0.000000,0.439000,YELLOW,0.275286,76becca791b57984
9,0,VOID,1.000000,0.100000,0.253086,0.590616,0.250000,0.000000,0.000000,0.000000,0.439000,YELLOW,0.275286,457590c9a54544c5
10,0,VOID,1.000000,0.100000,0.253086,0.590616,0.250000,0.000000,0.000000,0.000000,0.439000,YELLOW,0.275286,c2ac12f982a69436
11,0,VOID,1.000000,0.100000,0.253086,0.590616,0.250000,0.000000,0.000000,0.000000,0.439000,YELLOW,0.275286,04326a5ff0c51ebf
