level,operator,operator_name,aperture,pressure,depth,binding,continuity,d2_magnitude,master_lemma_defect,lens_mismatch,coherence_action,coherence_band,collapse_distance,step_hash
0,0,VOID,0.969681,0.021032,0.200000,0.939681,0.939681,0.049753,0.021032,0.000086,0.447617,YELLOW,0.266669,7515dadabe645f77
1,0,VOID,0.982089,0.020209,0.200000,0.952089,0.947911,0.050617,0.020209,0.000023,0.447839,YELLOW,0.266447,57c59bec609967b9
2,0,VOID,0.992833,0.021283,0.200000,0.962833,0.937167,0.019213,0.021283,0.000858,0.441542,YELLOW,0.272743,6d1ac8326d26263b
3,0,VOID,0.984768,0.020477,0.200000,0.954768,0.945232,0.032631,0.020477,0.000118,0.444194,YELLOW,0.270092,69a474ac70d2ce28
4,0,VOID,0.977834,0.020217,0.200000,0.947834,0.947834,0.005719,0.020217,0.000004,0.438743,YELLOW,0.275542,3373aa91e24f32ac
5,0,VOID,0.961644,0.021836,0.200000,0.931644,0.931644,0.022977,0.021836,0.000273,0.442169,YELLOW,0.272116,985dfccac7f344c8
6,7,HARMONY,0.980089,0.020009,0.200000,0.950089,0.949911,0.059984,0.020009,0.000000,0.449746,YELLOW,0.264540,8a951448784255f9
7,0,VOID,0.983140,0.020314,0.200000,0.953140,0.946860,0.030543,0.020314,0.000051,0.412772,YELLOW,0.301514,6cd6c73171d16325
8,0,VOID,0.975673,0.020433,0.200000,0.945673,0.945673,0.014994,0.020433,0.000015,0.412734,YELLOW,0.301552,661b78c8fce1fb04
9,0,VOID,0.971256,0.020874,0.200000,0.941256,0.941256,0.005399,0.020874,0.000062,0.413198,YELLOW,0.301088,8df4bb639384db24
10,0,VOID,0.982790,0.020279,0.200000,0.952790,0.947210,0.024849,0.020279,0.000041,0.419119,YELLOW,0.295167,4ee593082a0857ca
11,0,VOID,0.987784,0.020778,0.200000,0.957784,0.942216,0.014374,0.020778,0.000316,0.418599,YELLOW,0.295687,46388a6da99f2bf1
