level,operator,operator_name,aperture,pressure,depth,binding,continuity,d2_magnitude,master_lemma_defect,lens_mismatch,coherence_action,coherence_band,collapse_distance,step_hash
0,0,VOID,0.405160,0.247005,1.000000,0.100000,0.888848,0.017128,0.405160,0.042960,0.421196,YELLOW,0.293090,d963eb079f6fe16f
1,1,LATTICE,0.334534,0.093971,0.500000,0.130000,0.953484,0.533568,0.334534,0.252335,0.560230,YELLOW,0.154055,ca7c82f80101686f
2,8,BREATH,0.295039,0.015097,0.250000,0.160000,0.991848,0.263930,0.295039,0.658712,0.556981,YELLOW,0.157305,19744a316f493f2f
3,7,HARMONY,0.311295,0.000722,0.125000,0.190000,0.999577,0.154376,0.311295,0.902024,0.567804,YELLOW,0.146481,dcc46cbdb70a8527
4,7,HARMONY,0.367584,0.000000,0.062500,0.220000,1.000000,0.075820,0.367584,1.015667,0.514373,YELLOW,0.199913,a121b69c35196f31
5,0,VOID,0.444256,0.000000,0.031250,0.250000,1.000000,0.037319,0.444256,1.064722,0.474959,YELLOW,0.239327,a22dd37b821d1b42
6,0,VOID,0.487113,0.000006,0.015625,0.280000,0.999996,0.037250,0.487113,1.104256,0.483612,YELLOW,0.230674,ab94e90a91be3613
7,0,VOID,0.496675,0.000209,0.007812,0.310000,0.999840,0.034200,0.496675,1.145130,0.490658,YELLOW,0.223627,eb1b36a70a9c2411
8,0,VOID,0.465290,0.000000,0.003906,0.340000,1.000000,0.041136,0.465290,1.203931,0.500510,YELLOW,0.213776,e84d294da32c7eee
9,0,VOID,0.402691,0.000000,0.001953,0.370000,1.000000,0.031277,0.402691,1.288253,0.507756,YELLOW,0.206529,4522f8d341ae6454
10,0,VOID,0.332906,0.000186,0.000977,0.400000,0.999833,0.007255,0.332906,1.391002,0.511666,YELLOW,0.202620,f646cd0aab9007c2
11,0,VOID,0.297291,0.000519,0.000488,0.430000,0.999510,0.034173,0.297291,1.470087,0.522792,YELLOW,0.191494,9c15ecc861f31e8a
