level,operator,operator_name,aperture,pressure,depth,binding,continuity,d2_magnitude,master_lemma_defect,lens_mismatch,coherence_action,coherence_band,collapse_distance,step_hash
0,7,HARMONY,0.920638,0.468713,0.120638,0.829362,0.879362,0.135582,0.750000,0.642500,0.519968,YELLOW,0.194318,974215636ad8b8bc
1,7,HARMONY,0.895821,0.492149,0.115821,0.854179,0.904179,0.135414,0.750000,0.610900,0.339720,YELLOW,0.374566,a5a9a94583038ca3
2,0,VOID,0.874334,0.515585,0.114334,0.875666,0.925666,0.006659,0.750000,0.580100,0.308565,YELLOW,0.405721,0205da4a2c81d927
3,7,HARMONY,0.890464,0.539020,0.150464,0.859536,0.909536,0.075234,0.750000,0.550100,0.369835,YELLOW,0.344451,db057fc22713220d
4,0,VOID,0.904333,0.562456,0.184333,0.845667,0.895667,0.004522,0.750000,0.520900,0.336114,YELLOW,0.378171,f5dbbcb2e9b719ae
5,0,VOID,0.936711,0.585892,0.236711,0.813289,0.863289,0.037020,0.750000,0.492500,0.364259,YELLOW,0.350027,ac79026b335e3843
6,7,HARMONY,0.899822,0.609327,0.219822,0.850178,0.900178,0.138535,0.750000,0.464900,0.397762,YELLOW,0.316524,08eae056bf61340a
7,7,HARMONY,0.893719,0.632763,0.233719,0.856281,0.906281,0.061571,0.750000,0.438100,0.365255,YELLOW,0.349031,f31170d6fbe48dd7
8,0,VOID,0.908655,0.656199,0.268655,0.841345,0.891345,0.042077,0.750000,0.412100,0.347642,YELLOW,0.366644,cd1a3902363ff3ae
9,0,VOID,0.917488,0.679634,0.297488,0.832512,0.882512,0.012204,0.750000,0.386900,0.349588,YELLOW,0.364698,7feb0b28a1b5262a
10,7,HARMONY,0.894420,0.703070,0.294420,0.855580,0.905580,0.063804,0.750000,0.362500,0.365733,YELLOW,0.348553,87268e4a7d914c45
11,0,VOID,0.884433,0.726506,0.304433,0.865567,0.915567,0.026162,0.750000,0.338900,0.346262,YELLOW,0.368024,2747f379f3864ed0
