level,operator,operator_name,aperture,pressure,depth,binding,continuity,d2_magnitude,master_lemma_defect,lens_mismatch,coherence_action,coherence_band,collapse_distance,step_hash
0,8,BREATH,1.000000,0.623260,0.140315,1.000000,0.000000,0.434400,0.000000,0.000000,0.526966,YELLOW,0.187320,7e86d1e9148a50af
1,4,COLLAPSE,1.000000,0.766778,0.141586,0.000000,0.391682,1.764836,0.000000,0.000000,0.606654,YELLOW,0.107632,46d48e538a442f57
2,6,CHAOS,1.000000,0.820340,0.141350,0.283634,0.561987,1.305687,0.000000,0.000000,0.576549,YELLOW,0.137737,8e1d2a5aefc6c671
3,8,BREATH,1.000000,0.862162,0.141129,0.889187,0.680249,0.326309,0.000000,0.000000,0.493078,YELLOW,0.221208,da8011abc3b5a538
4,5,BALANCE,1.000000,0.880663,0.141609,1.000000,0.728983,0.500146,0.000000,0.000000,0.528258,YELLOW,0.186028,a21f241bff320e10
5,1,LATTICE,1.000000,0.893753,0.141155,0.249640,0.762246,0.861330,0.000000,0.000000,0.541220,YELLOW,0.173066,d66ce2b816f5b10f
6,6,CHAOS,1.000000,0.932813,0.141191,1.000000,0.855947,1.502162,0.000000,0.000000,0.551363,YELLOW,0.162922,a0789bcb1dabdf5e
7,9,RESET,1.000000,0.929075,0.141509,0.476805,0.847321,1.278376,0.000000,0.000000,0.539615,YELLOW,0.174671,b04f32e31d9b2bf5
8,7,HARMONY,1.000000,0.869018,0.141468,0.000000,0.698551,0.158002,0.000000,0.000000,0.423495,YELLOW,0.290790,9bec312c45da1dd4
9,1,LATTICE,1.000000,0.925503,0.141264,0.000000,0.839013,0.569720,0.000000,0.000000,0.470966,YELLOW,0.243320,24c1e6a9ed92e665
10,3,PROGRESS,1.000000,0.917074,0.141258,1.000000,0.819151,1.014848,0.000000,0.000000,0.496280,YELLOW,0.218006,1c8e0dc42c1fbdf6
11,4,COLLAPSE,1.000000,0.946426,0.141289,0.000000,0.886788,2.000000,0.000000,0.000000,0.543591,YELLOW,0.170695,3f45f5fc5f2d760e
