level,operator,operator_name,aperture,pressure,depth,binding,continuity,d2_magnitude,master_lemma_defect,lens_mismatch,coherence_action,coherence_band,collapse_distance,step_hash
0,0,VOID,0.839681,0.999869,0.900000,0.999897,0.889681,0.036396,0.160422,0.817009,0.569947,YELLOW,0.144339,ae51a47b35c2a03d
1,5,BALANCE,0.852089,0.500026,0.950000,0.999979,0.947911,0.506538,0.147932,1.022443,0.695238,YELLOW,0.019048,388ef11810c9f73c
2,8,BREATH,0.862833,0.333496,0.966667,0.999872,0.953834,0.339038,0.137295,1.189752,0.657045,YELLOW,0.057241,3da6edc563f14f9c
3,7,HARMONY,0.854768,0.250060,0.975000,0.999952,0.970232,0.086242,0.145280,1.306929,0.599295,YELLOW,0.114991,c8271e4601e6874b
4,0,VOID,0.847834,0.199973,0.980000,0.999978,0.977834,0.034668,0.152188,1.375840,0.538617,YELLOW,0.175669,3dd2fb113747a395
5,0,VOID,0.831644,0.166434,0.983333,0.999816,0.964978,0.027944,0.168539,1.373332,0.544861,YELLOW,0.169425,6f9630ee812a920a
6,0,VOID,0.850089,0.142858,0.985714,0.999999,0.985626,0.049217,0.149912,1.471631,0.556306,YELLOW,0.157980,f0090ddf35462129
7,0,VOID,0.853140,0.125040,0.987500,0.999969,0.984360,0.027399,0.146891,1.499033,0.556266,YELLOW,0.158020,65c2dedd24fb4a31
8,0,VOID,0.845673,0.111056,0.988889,0.999957,0.984562,0.011299,0.154371,1.508938,0.555607,YELLOW,0.158679,cdd3efb514385eb2
9,0,VOID,0.841256,0.099889,0.990000,0.999913,0.981256,0.005443,0.158832,1.512316,0.556539,YELLOW,0.157746,eb2fc0bd83daf507
10,0,VOID,0.852790,0.090944,0.990909,0.999972,0.988119,0.019048,0.147238,1.556733,0.562051,YELLOW,0.152235,4d8db591a2b23bf2
11,0,VOID,0.857784,0.083432,0.991667,0.999922,0.983883,0.012964,0.142294,1.567493,0.562755,YELLOW,0.151530,c4cfbd4816c76715
