level,operator,operator_name,aperture,pressure,depth,binding,continuity,d2_magnitude,master_lemma_defect,lens_mismatch,coherence_action,coherence_band,collapse_distance,step_hash
0,7,HARMONY,0.379362,0.579362,0.300000,0.279362,0.479362,0.120374,0.579362,0.041704,0.429701,YELLOW,0.284584,c30b31f2da743f7f
1,7,HARMONY,0.404179,0.604179,0.300000,0.304179,0.495821,0.123714,0.604179,0.036797,0.252831,GREEN,0.461455,45d01767c83fe744
2,0,VOID,0.425666,0.625666,0.300000,0.325666,0.474334,0.038382,0.625666,0.024737,0.232057,GREEN,0.482228,1ad299195109c2ab
3,7,HARMONY,0.409536,0.609536,0.300000,0.309536,0.490464,0.075234,0.609536,0.033099,0.294362,GREEN,0.419924,393a0d360edaaf65
4,0,VOID,0.395667,0.595667,0.300000,0.295667,0.495667,0.011607,0.595667,0.040075,0.269016,GREEN,0.445270,cf4ce3a55be55380
5,0,VOID,0.363289,0.563289,0.300000,0.263289,0.463289,0.049399,0.563289,0.045391,0.306063,YELLOW,0.408223,7acd987731f9b2ee
6,7,HARMONY,0.400178,0.600178,0.300000,0.300178,0.499822,0.138358,0.600178,0.039858,0.338082,YELLOW,0.376204,2a25fd3e7c57e281
7,7,HARMONY,0.406281,0.606281,0.300000,0.306281,0.493719,0.068273,0.606281,0.035291,0.310209,YELLOW,0.404077,4933ef418b48c0d4
8,0,VOID,0.391345,0.591345,0.300000,0.291345,0.491345,0.036631,0.591345,0.040300,0.296298,GREEN,0.417988,9c3fd358005febaf
9,0,VOID,0.382512,0.582512,0.300000,0.282512,0.482512,0.012386,0.582512,0.041223,0.304312,YELLOW,0.409974,dce8fb66035b5b64
10,7,HARMONY,0.405580,0.605580,0.300000,0.305580,0.494420,0.059021,0.605580,0.035785,0.320966,YELLOW,0.393320,bc1863af828726b1
11,0,VOID,0.415567,0.615567,0.300000,0.315567,0.484433,0.031508,0.615567,0.029485,0.305701,YELLOW,0.408585,1d9deb495a8ce905
