level,operator,operator_name,aperture,pressure,depth,binding,continuity,d2_magnitude,master_lemma_defect,lens_mismatch,coherence_action,coherence_band,collapse_distance,step_hash
0,7,HARMONY,0.220638,1.000000,0.870638,0.129362,0.079362,0.135582,0.650000,0.425000,0.491080,YELLOW,0.223205,9979f18c48021029
1,7,HARMONY,0.175821,1.000000,0.855821,0.154179,0.104179,0.148845,0.670000,0.464900,0.323950,YELLOW,0.390336,146cd916c2e4548d
2,0,VOID,0.134334,1.000000,0.844334,0.175666,0.125666,0.006659,0.690000,0.506600,0.300638,YELLOW,0.413648,c2989730b9c87e00
3,7,HARMONY,0.130464,1.000000,0.870464,0.159536,0.109536,0.075234,0.710000,0.550100,0.372635,YELLOW,0.341651,ad8c105bad8bf12b
4,0,VOID,0.124333,1.000000,0.894333,0.145667,0.095667,0.004522,0.730000,0.595400,0.349807,YELLOW,0.364479,59c993e05e593c99
5,0,VOID,0.136711,1.000000,0.936711,0.113289,0.063289,0.037020,0.750000,0.642500,0.389009,YELLOW,0.325277,534545cd14164374
6,7,HARMONY,0.079822,1.000000,0.909822,0.150178,0.100178,0.138535,0.770000,0.691400,0.433734,YELLOW,0.280551,3ab3a60da4560685
7,7,HARMONY,0.053719,1.000000,0.913719,0.156281,0.106281,0.061571,0.790000,0.742100,0.412615,YELLOW,0.301671,2026dac0969c4363
8,0,VOID,0.048655,1.000000,0.938655,0.141345,0.091345,0.042077,0.810000,0.794600,0.406555,YELLOW,0.307731,0f9aa6c2dc52e70e
9,0,VOID,0.037488,1.000000,0.957488,0.132512,0.082512,0.012204,0.830000,0.848900,0.420218,YELLOW,0.294068,4240527425ccf7a7
10,7,HARMONY,0.000000,1.000000,0.944420,0.155580,0.105580,0.061205,0.844420,0.894429,0.446365,YELLOW,0.267920,d69544e99b0fc588
11,0,VOID,0.000000,1.000000,0.944433,0.165567,0.115567,0.043803,0.834433,0.894453,0.435590,YELLOW,0.278696,9cc9f3be3afa9b32
