level,operator,operator_name,aperture,pressure,depth,binding,continuity,d2_magnitude,master_lemma_defect,lens_mismatch,coherence_action,coherence_band,collapse_distance,step_hash
0,0,VOID,0.000000,0.299851,0.140000,0.547746,0.500000,0.000000,0.408943,0.001672,0.410650,YELLOW,0.303636,52666fd860d1f5c1
1,0,VOID,0.000000,0.339948,0.160000,0.547746,0.500000,0.044808,0.183691,0.000337,0.435271,YELLOW,0.279015,e28813f3a5f58a36
2,0,VOID,0.000000,0.391010,0.180000,0.547746,0.500000,0.010965,0.038752,0.000015,0.438510,YELLOW,0.275775,9016eca56ec19e1d
3,0,VOID,0.000000,0.445792,0.200000,0.547746,0.500000,0.003720,0.096003,0.000092,0.433048,YELLOW,0.281237,21445b40d1cd3501
4,0,VOID,0.000000,0.488186,0.220000,0.547746,0.500000,0.012388,0.128142,0.000164,0.432566,YELLOW,0.281720,5ebc924cc15b7847
5,0,VOID,0.000000,0.499043,0.240000,0.547746,0.500000,0.031538,0.228166,0.000521,0.429501,YELLOW,0.284785,06b0c2fa17aa822d
6,0,VOID,0.000000,0.472468,0.260000,0.547746,0.500000,0.037432,0.120130,0.000144,0.438195,YELLOW,0.276091,d9e97a32b9b918bc
7,0,VOID,0.000000,0.422167,0.280000,0.547746,0.500000,0.023727,0.120155,0.000144,0.435418,YELLOW,0.278868,912a81ca7d41e79c
8,0,VOID,0.000000,0.367568,0.300000,0.547746,0.500000,0.004297,0.234431,0.000550,0.423551,YELLOW,0.290735,80e95b9f1249bc72
9,0,VOID,0.000000,0.320868,0.320000,0.547746,0.500000,0.007898,0.349052,0.001218,0.416367,YELLOW,0.297919,2f56a97e56a384a2
10,0,VOID,0.000000,0.286196,0.340000,0.547746,0.500000,0.012028,0.224618,0.000505,0.425796,YELLOW,0.288490,c7868d1baac7d036
11,0,VOID,0.000000,0.263597,0.360000,0.547746,0.500000,0.012074,0.161055,0.000259,0.430214,YELLOW,0.284072,108b56d44de9cee0
