level,operator,operator_name,aperture,pressure,depth,binding,continuity,d2_magnitude,master_lemma_defect,lens_mismatch,coherence_action,coherence_band,collapse_distance,step_hash
0,7,HARMONY,0.279362,0.199794,0.800000,0.520638,0.379362,0.077473,1.000000,0.016331,0.387383,YELLOW,0.326903,1e12ec778abe4649
1,7,HARMONY,0.304179,0.220042,0.750000,0.504179,0.345821,0.098007,1.000000,0.029579,0.218727,GREEN,0.495559,248826835cb9ea70
2,0,VOID,0.325666,0.240257,0.700000,0.525666,0.274334,0.053768,1.000000,0.047295,0.212692,GREEN,0.501594,9be969e2c596d529
3,7,HARMONY,0.309536,0.260095,0.650000,0.509536,0.240464,0.065155,1.000000,0.064944,0.270243,GREEN,0.444043,8ef1d0730e753111
4,0,VOID,0.295667,0.279957,0.600000,0.504333,0.195667,0.015617,1.000000,0.090247,0.249803,GREEN,0.464483,f7fe77f5d4b95eb6
5,0,VOID,0.263289,0.299633,0.550000,0.536711,0.113289,0.056280,1.000000,0.123821,0.289827,GREEN,0.424459,3dd1427b2ce0eaef
6,7,HARMONY,0.300178,0.320002,0.500000,0.500178,0.099822,0.119567,1.000000,0.160393,0.326177,YELLOW,0.388109,e2caf3112021e9f9
7,7,HARMONY,0.306281,0.340063,0.450000,0.506281,0.043719,0.067703,1.000000,0.203641,0.310311,YELLOW,0.403975,fa0abb05adcd3f80
8,0,VOID,0.291345,0.359913,0.400000,0.508655,0.000000,0.024697,1.000000,0.246122,0.299236,GREEN,0.415049,7edd93b88b1bb2ed
9,0,VOID,0.282512,0.379825,0.350000,0.517488,0.000000,0.044613,1.000000,0.242287,0.314789,YELLOW,0.399496,0fba688d8f05c7f6
10,0,VOID,0.305580,0.400056,0.300000,0.505580,0.000000,0.038053,1.000000,0.253377,0.325013,YELLOW,0.389273,23fdc29bc0352d96
11,0,VOID,0.315567,0.420156,0.250000,0.515567,0.000000,0.025506,1.000000,0.245614,0.329146,YELLOW,0.385140,d20abfd88efa9d7c
