Quran Rodwell1861
Quran 1:1	In the Name of God, the Compassionate, the Merciful.
Quran 1:2	Praise be to God, Lord of the worlds.
Quran 1:3	The compassionate, the merciful.
Quran 1:5	Thee only do we worship, and to Thee do we cry for help.
Quran 1:6	Guide Thou us on the straight path.
Quran 2:255	God! There is no God but He; the Living, the Self-subsisting. Slumber seizeth Him not, nor sleep; His, whatsoever is in the Heavens and whatsoever is in the Earth. Who is he that can intercede with Him but by His own permission?
Quran 17:23	Thy Lord hath ordained that ye worship none but Him, and to your parents kindness; whether one or both of them attain to old age with thee, say not unto them, "Fie!" neither reproach them; but speak to them both with respectful speech.
Quran 24:35	God is the LIGHT of the Heavens and of the Earth. His Light is like a niche in which is a lamp — the lamp encased in glass — the glass, as it were, a glistening star. From a blessed tree is it lighted, the olive neither of the East nor of the West; well-nigh would its oil shine out, even though fire touched it not!
Quran 49:13	O men! verily, We have created you of a male and a female; and We have divided you into peoples and tribes that ye may take knowledge one of another.
Quran 94:5	Surely with hardship goeth ease.
Quran 94:6	Verily with hardship goeth ease.
Quran 103:1	By the declining day! Verily, man's lot is cast amid destruction.
Quran 103:3	Save those who believe and do the things which be right, and enjoin truth, and enjoin steadfastness on each other.
Quran 112:1	Say: He is God alone.
Quran 112:2	God the eternal!
Quran 112:3	He begetteth not, and is not begotten.
Quran 112:4	And there is none like unto Him.
