t0,sigma_min,sigma_kv,lambda,corridor,min_zeta,kv_val,kv_ratio,danger,scale_factor,strip_width
10.0,0.96954,0.96954,0.0,Pre-leak,1.40271116,1.40271116,1.0,False,0.13708,0.46954
10.3532,0.97002,0.97002,0.0,Pre-leak,1.39481782,1.39481782,1.0,False,0.13492,0.47002
10.7189,0.97048,0.97048,0.0,Pre-leak,1.369026,1.369026,1.0,False,0.13283,0.47048
11.0975,0.97093,0.97093,0.0,Pre-leak,1.32139262,1.32139262,1.0,False,0.13082,0.47093
11.4895,0.97136,0.97136,0.0,Pre-leak,1.24778121,1.24778121,1.0,False,0.12889,0.47136
11.8953,0.97178,0.97178,0.0,Pre-leak,1.14417161,1.14417161,1.0,False,0.12701,0.47178
12.3155,0.97218,0.97218,0.0,Pre-leak,1.00724624,1.00724624,1.0,False,0.1252,0.47218
12.7505,0.97257,0.97257,0.0,Pre-leak,0.83561747,0.83561747,1.0,False,0.12345,0.47257
13.2009,0.85235,0.97294,0.25498,BRT,0.62976202,0.63314214,0.994661,False,0.12175,0.47294
13.6347,0.59855,0.97328,0.79178,BAL,0.3708623,0.43583791,0.850918,False,0.12022,0.47328
13.6672,0.58585,0.97331,0.81862,COL,0.34881383,0.42243351,0.825725,True,0.12011,0.47331
14.1347,0.5001,0.97365,0.99979,CTR,8.178e-05,0.31210649,0.000262,True,0.11857,0.47365
14.1499,0.5001,0.97366,0.99979,CTR,0.01206112,0.31258685,0.038585,True,0.11852,0.47366
14.6347,0.60824,0.97399,0.77165,BAL,0.4009542,0.46580493,0.860777,False,0.11702,0.47399
14.6497,0.6146,0.974,0.75823,BAL,0.41271724,0.47348189,0.871664,False,0.11698,0.474
15.1672,0.97434,0.97434,0.0,Pre-leak,0.77597054,0.77597054,1.0,False,0.11548,0.47434
15.7029,0.97466,0.97466,0.0,Pre-leak,1.10802072,1.10802072,1.0,False,0.11403,0.47466
16.2576,0.97497,0.97497,0.0,Pre-leak,1.42205304,1.42205304,1.0,False,0.11262,0.47497
16.8318,0.97528,0.97528,0.0,Pre-leak,1.6789996,1.6789996,1.0,False,0.11125,0.47528
17.4263,0.97557,0.97557,0.0,Pre-leak,1.8392506,1.8392506,1.0,False,0.10992,0.47557
18.0419,0.97586,0.97586,0.0,Pre-leak,1.86486184,1.86486184,1.0,False,0.10862,0.47586
18.6791,0.97614,0.97614,0.0,Pre-leak,1.72651974,1.72651974,1.0,False,0.10736,0.47614
19.3389,0.97641,0.97641,0.0,Pre-leak,1.41466247,1.41466247,1.0,False,0.10613,0.47641
20.022,0.97668,0.97668,0.0,Pre-leak,0.95783985,0.95783985,1.0,False,0.10494,0.47668
20.522,0.65689,0.97687,0.671,BAL,0.54930182,0.60676388,0.905297,False,0.10411,0.47687
20.7292,0.5513,0.97694,0.89243,COL,0.33105167,0.49035042,0.675133,True,0.10377,0.47694
21.022,0.5001,0.97704,0.99979,CTR,0.00012228,0.41285407,0.000296,True,0.10331,0.47704
21.4614,0.62498,0.97719,0.7381,BAL,0.46416193,0.53944055,0.860451,False,0.10264,0.47719
21.522,0.66341,0.97721,0.65758,BAL,0.51854694,0.57040254,0.909089,False,0.10255,0.47721
22.2195,0.97744,0.97744,0.0,Pre-leak,0.93405327,0.93405327,1.0,False,0.10153,0.47744
23.0043,0.97768,0.97768,0.0,Pre-leak,1.13840069,1.13840069,1.0,False,0.10045,0.47768
23.8169,0.97791,0.97791,0.0,Pre-leak,0.99558321,0.99558321,1.0,False,0.0994,0.47791
24.5109,0.68296,0.9781,0.61732,BAL,0.5936897,0.64174872,0.925112,False,0.09855,0.4781
24.6581,0.58993,0.97814,0.81191,COL,0.44433212,0.56662602,0.784172,True,0.09837,0.47814
25.0109,0.5001,0.97823,0.99979,CTR,0.00014899,0.48025561,0.00031,True,0.09796,0.47823
25.5109,0.69269,0.97836,0.59719,CHA,0.67363696,0.72300185,0.931722,False,0.09739,0.47836
25.5291,0.70874,0.97836,0.56364,CHA,0.69535754,0.73736796,0.943027,False,0.09737,0.47836
26.4308,0.97858,0.97858,0.0,Pre-leak,1.51956821,1.51956821,1.0,False,0.09639,0.47858
27.3644,0.97879,0.97879,0.0,Pre-leak,2.03907533,2.03907533,1.0,False,0.09543,0.47879
28.331,0.979,0.979,0.0,Pre-leak,1.94493276,1.94493276,1.0,False,0.0945,0.479
29.3317,0.9792,0.9792,0.0,Pre-leak,1.22100977,1.22100977,1.0,False,0.09358,0.4792
29.9249,0.71559,0.97932,0.55022,CHA,0.65442502,0.692067,0.945609,False,0.09307,0.47932
30.4249,0.5001,0.97941,0.99979,CTR,0.00013405,0.44195625,0.000303,True,0.09264,0.47941
30.3677,0.50332,0.9794,0.99308,CTR,0.07541153,0.45057974,0.167366,True,0.09269,0.4794
30.9249,0.71245,0.9795,0.55693,CHA,0.51833608,0.55207604,0.938885,False,0.09223,0.4795
31.4404,0.9796,0.9796,0.0,Pre-leak,0.706689,0.706689,1.0,False,0.09181,0.4796
32.4351,0.72223,0.97977,0.5368,CHA,0.5350322,0.56688626,0.943809,False,0.09105,0.47977
32.5509,0.62888,0.97979,0.73139,BAL,0.44568427,0.52542339,0.848238,False,0.09096,0.47979
33.4351,0.73841,0.97993,0.50325,CHA,0.69736159,0.72902656,0.956565,False,0.09031,0.47993
32.9351,0.5001,0.97985,0.99979,CTR,0.00014805,0.46084118,0.000321,True,0.09067,0.47985
33.7006,0.97997,0.97997,0.0,Pre-leak,0.97233456,0.97233456,1.0,False,0.09012,0.47997
34.891,0.98016,0.98016,0.0,Pre-leak,1.94292671,1.94292671,1.0,False,0.0893,0.48016
36.1234,0.98033,0.98033,0.0,Pre-leak,1.80436201,1.80436201,1.0,False,0.0885,0.48033
37.0862,0.76446,0.98047,0.44957,CHA,0.89041474,0.91836933,0.969561,False,0.0879,0.48047
37.3994,0.53234,0.98051,0.93269,CTR,0.36188625,0.67845212,0.5334,True,0.08771,0.48051
37.5862,0.5001,0.98053,0.99979,CTR,0.0001982,0.62309715,0.000318,True,0.0876,0.48053
38.0862,0.76454,0.9806,0.44957,CHA,0.80285019,0.82855502,0.968976,False,0.08731,0.4806
38.7204,0.98068,0.98068,0.0,Pre-leak,1.201758,1.201758,1.0,False,0.08694,0.48068
40.0881,0.98085,0.98085,0.0,Pre-leak,0.92874007,0.92874007,1.0,False,0.08619,0.48085
40.4187,0.77115,0.98089,0.43615,CHA,0.67558034,0.69657536,0.96986,False,0.08601,0.48089
40.9187,0.5001,0.98094,0.99979,CTR,0.00015172,0.47667086,0.000318,True,0.08575,0.48094
41.504,0.87127,0.98101,0.22814,BRT,0.65669425,0.66128289,0.993061,False,0.08545,0.48101
41.4187,0.76476,0.981,0.44957,CHA,0.60007537,0.62197679,0.964787,False,0.08549,0.481
42.8271,0.7713,0.98116,0.43615,CHA,0.67267114,0.69411956,0.9691,False,0.08479,0.48116
42.97,0.63248,0.98117,0.72468,BAL,0.54238714,0.63701402,0.851452,False,0.08472,0.48117
43.3271,0.5001,0.98121,0.99979,CTR,0.00018977,0.57691404,0.000329,True,0.08455,0.48121
43.8271,0.79719,0.98126,0.38247,CHA,0.90105512,0.91873012,0.980761,False,0.08432,0.48126
46.0592,0.98149,0.98149,0.0,Pre-leak,2.30979611,2.30979611,1.0,False,0.08331,0.48149
44.4878,0.98133,0.98133,0.0,Pre-leak,1.6950498,1.6950498,1.0,False,0.08401,0.48133
47.5052,0.80711,0.98162,0.36234,CHA,0.8117326,0.82651431,0.982116,False,0.0827,0.48162
47.6861,0.60998,0.98164,0.77165,BAL,0.53460307,0.65736301,0.813254,False,0.08263,0.48164
48.0052,0.5001,0.98167,0.99979,CTR,0.00017468,0.49034328,0.000356,True,0.0825,0.48167
