t0,sigma_min,sigma_kv,lambda,corridor,min_zeta,kv_val,kv_ratio,danger,scale_factor,strip_width
10.0,0.96954,0.96954,0.0,Pre-leak,1.40271116,1.40271116,1.0,False,0.13708,0.46954
10.1746,0.96978,0.96978,0.0,Pre-leak,1.40077772,1.40077772,1.0,False,0.13599,0.46978
10.3523,0.97002,0.97002,0.0,Pre-leak,1.3948584,1.3948584,1.0,False,0.13492,0.47002
10.5331,0.97025,0.97025,0.0,Pre-leak,1.3844949,1.3844949,1.0,False,0.13387,0.47025
10.717,0.97048,0.97048,0.0,Pre-leak,1.36920634,1.36920634,1.0,False,0.13284,0.47048
10.9042,0.9707,0.9707,0.0,Pre-leak,1.3484931,1.3484931,1.0,False,0.13183,0.4707
11.0946,0.97092,0.97092,0.0,Pre-leak,1.32184248,1.32184248,1.0,False,0.13084,0.47092
11.2884,0.97114,0.97114,0.0,Pre-leak,1.28873634,1.28873634,1.0,False,0.12986,0.47114
11.4855,0.97135,0.97135,0.0,Pre-leak,1.24866163,1.24866163,1.0,False,0.1289,0.47135
11.6861,0.97156,0.97156,0.0,Pre-leak,1.20112463,1.20112463,1.0,False,0.12796,0.47156
11.8902,0.97177,0.97177,0.0,Pre-leak,1.14567046,1.14567046,1.0,False,0.12703,0.47177
12.0978,0.97197,0.97197,0.0,Pre-leak,1.08191056,1.08191056,1.0,False,0.12612,0.47197
12.3091,0.97217,0.97217,0.0,Pre-leak,1.00956271,1.00956271,1.0,False,0.12523,0.47217
12.524,0.97237,0.97237,0.0,Pre-leak,0.92851293,0.92851293,1.0,False,0.12435,0.47237
12.7427,0.97256,0.97256,0.0,Pre-leak,0.83891883,0.83891883,1.0,False,0.12348,0.47256
12.9653,0.97275,0.97275,0.0,Pre-leak,0.74139918,0.74139918,1.0,False,0.12263,0.47275
13.4221,0.70328,0.97312,0.57035,CHA,0.50642938,0.53018102,0.955201,False,0.12096,0.47312
13.1917,0.85869,0.97294,0.24156,BRT,0.6344725,0.63742078,0.995375,False,0.12179,0.47294
13.6565,0.5922,0.9733,0.8052,COL,0.35611717,0.4268086,0.834372,True,0.12015,0.4733
13.6347,0.59855,0.97328,0.79178,BAL,0.3708623,0.43583791,0.850918,False,0.12022,0.47328
13.895,0.52234,0.97348,0.95282,CTR,0.18531426,0.34364473,0.539261,True,0.11935,0.47348
14.1376,0.5001,0.97365,0.99979,CTR,0.0022885,0.31217371,0.007331,True,0.11856,0.47365
14.1347,0.5001,0.97365,0.99979,CTR,8.178e-05,0.31210649,0.000262,True,0.11857,0.47365
14.6347,0.60824,0.97399,0.77165,BAL,0.4009542,0.46580493,0.860777,False,0.11702,0.47399
14.3845,0.52553,0.97383,0.94611,CTR,0.20076339,0.35818364,0.560504,True,0.11779,0.47383
14.8913,0.76736,0.97416,0.43615,CHA,0.59436324,0.60803965,0.977507,False,0.11627,0.47416
15.4159,0.97449,0.97449,0.0,Pre-leak,0.93127822,0.93127822,1.0,False,0.1148,0.47449
14.6357,0.60824,0.974,0.77165,BAL,0.40174037,0.4663136,0.861524,False,0.11702,0.474
15.1513,0.97433,0.97433,0.0,Pre-leak,0.76614069,0.76614069,1.0,False,0.11553,0.47433
15.9591,0.97481,0.97481,0.0,Pre-leak,1.25903482,1.25903482,1.0,False,0.11337,0.47481
17.1034,0.97542,0.97542,0.0,Pre-leak,1.76730901,1.76730901,1.0,False,0.11063,0.47542
15.6852,0.97465,0.97465,0.0,Pre-leak,1.09727161,1.09727161,1.0,False,0.11408,0.47465
16.8099,0.97527,0.97527,0.0,Pre-leak,1.67084035,1.67084035,1.0,False,0.1113,0.47527
16.5213,0.97512,0.97512,0.0,Pre-leak,1.55067461,1.55067461,1.0,False,0.11198,0.47512
16.2378,0.97496,0.97496,0.0,Pre-leak,1.41177194,1.41177194,1.0,False,0.11267,0.47496
18.6499,0.97613,0.97613,0.0,Pre-leak,1.73652968,1.73652968,1.0,False,0.10742,0.47613
17.4021,0.97556,0.97556,0.0,Pre-leak,1.83517888,1.83517888,1.0,False,0.10997,0.47556
18.3298,0.97599,0.97599,0.0,Pre-leak,1.8232868,1.8232868,1.0,False,0.10804,0.47599
18.0152,0.97585,0.97585,0.0,Pre-leak,1.8669564,1.8669564,1.0,False,0.10868,0.47585
18.9756,0.97627,0.97627,0.0,Pre-leak,1.60602166,1.60602166,1.0,False,0.1068,0.47627
17.706,0.97571,0.97571,0.0,Pre-leak,1.86978809,1.86978809,1.0,False,0.10932,0.47571
19.6441,0.97654,0.97654,0.0,Pre-leak,1.22259787,1.22259787,1.0,False,0.10559,0.47654
19.307,0.9764,0.9764,0.0,Pre-leak,1.43323883,1.43323883,1.0,False,0.10619,0.4764
19.9872,0.97667,0.97667,0.0,Pre-leak,0.98297086,0.98297086,1.0,False,0.105,0.47667
20.522,0.65689,0.97687,0.671,BAL,0.54930182,0.60676388,0.905297,False,0.10411,0.47687
20.3362,0.81363,0.9768,0.34221,CHA,0.7215261,0.73173069,0.986054,False,0.10441,0.4768
21.4204,0.60256,0.97718,0.78507,BAL,0.42558026,0.51944914,0.819291,False,0.1027,0.47718
22.1751,0.97742,0.97742,0.0,Pre-leak,0.91405332,0.91405332,1.0,False,0.1016,0.47742
21.7944,0.92926,0.9773,0.10065,BRT,0.71841525,0.7190597,0.999104,False,0.10214,0.4773
20.6914,0.5673,0.97693,0.85888,COL,0.37243617,0.5088796,0.731875,True,0.10383,0.47693
21.022,0.5001,0.97704,0.99979,CTR,0.00012228,0.41285407,0.000296,True,0.10331,0.47704
21.0527,0.5001,0.97705,0.99979,CTR,0.03482115,0.41291763,0.08433,True,0.10326,0.47705
21.522,0.66341,0.97721,0.65758,BAL,0.51854694,0.57040254,0.909089,False,0.10255,0.47721
23.7651,0.9779,0.9779,0.0,Pre-leak,1.01534172,1.01534172,1.0,False,0.09947,0.4779
22.5623,0.97754,0.97754,0.0,Pre-leak,1.0608828,1.0608828,1.0,False,0.10105,0.47754
22.9563,0.97766,0.97766,0.0,Pre-leak,1.13515195,1.13515195,1.0,False,0.10052,0.47766
23.3572,0.97778,0.97778,0.0,Pre-leak,1.12185694,1.12185694,1.0,False,0.09999,0.47778
24.1801,0.97801,0.97801,0.0,Pre-leak,0.8245764,0.8245764,1.0,False,0.09895,0.47801
24.6024,0.6188,0.97812,0.75152,BAL,0.50396998,0.59370925,0.84885,False,0.09844,0.47812
25.032,0.5001,0.97824,0.99979,CTR,0.02913324,0.48191938,0.060453,True,0.09794,0.47824
25.0109,0.5001,0.97823,0.99979,CTR,0.00014899,0.48025561,0.00031,True,0.09796,0.47823
24.5109,0.68296,0.9781,0.61732,BAL,0.5936897,0.64174872,0.925112,False,0.09855,0.4781
26.827,0.97867,0.97867,0.0,Pre-leak,1.80115227,1.80115227,1.0,False,0.09598,0.47867
27.2954,0.97878,0.97878,0.0,Pre-leak,2.01938985,2.01938985,1.0,False,0.0955,0.47878
25.4692,0.65738,0.97835,0.671,BAL,0.6225114,0.6909021,0.901012,False,0.09744,0.47835
25.914,0.97846,0.97846,0.0,Pre-leak,1.07156851,1.07156851,1.0,False,0.09694,0.47846
28.7506,0.97909,0.97909,0.0,Pre-leak,1.70056166,1.70056166,1.0,False,0.09411,0.47909
25.5109,0.69269,0.97836,0.59719,CHA,0.67363696,0.72300185,0.931722,False,0.09739,0.47836
27.7721,0.97888,0.97888,0.0,Pre-leak,2.0841976,2.0841976,1.0,False,0.09503,0.47888
26.3665,0.97856,0.97856,0.0,Pre-leak,1.46746649,1.46746649,1.0,False,0.09646,0.47856
28.2571,0.97899,0.97899,0.0,Pre-leak,1.97624864,1.97624864,1.0,False,0.09457,0.47899
29.7635,0.9214,0.97929,0.12078,BRT,0.82625287,0.82743059,0.998577,False,0.0932,0.47929
29.9249,0.71559,0.97932,0.55022,CHA,0.65442502,0.692067,0.945609,False,0.09307,0.47932
30.2833,0.51618,0.97939,0.96624,CTR,0.18897667,0.47432541,0.398411,True,0.09276,0.47939
29.2527,0.97919,0.97919,0.0,Pre-leak,1.29237267,1.29237267,1.0,False,0.09365,0.47919
30.9249,0.71245,0.9795,0.55693,CHA,0.51833608,0.55207604,0.938885,False,0.09223,0.4795
30.4249,0.5001,0.97941,0.99979,CTR,0.00013405,0.44195625,0.000303,True,0.09264,0.47941
32.4351,0.72223,0.97977,0.5368,CHA,0.5350322,0.56688626,0.943809,False,0.09105,0.47977
30.8121,0.62558,0.97948,0.7381,BAL,0.43145311,0.51081954,0.844629,False,0.09232,0.47948
32.4547,0.70291,0.97977,0.57706,CHA,0.52153337,0.55972989,0.931759,False,0.09103,0.47977
31.8977,0.97968,0.97968,0.0,Pre-leak,0.71590936,0.71590936,1.0,False,0.09146,0.47968
31.3502,0.97958,0.97958,0.0,Pre-leak,0.68863111,0.68863111,1.0,False,0.09189,0.47958
33.0215,0.50654,0.97986,0.98637,CTR,0.12183143,0.47792709,0.254916,True,0.09061,0.47986
32.9351,0.5001,0.97985,0.99979,CTR,0.00014805,0.46084118,0.000321,True,0.09067,0.47985
33.5982,0.97996,0.97996,0.0,Pre-leak,0.87493603,0.87493603,1.0,False,0.09019,0.47996
33.4351,0.73841,0.97993,0.50325,CHA,0.69736159,0.72902656,0.956565,False,0.09031,0.47993
35.3893,0.98023,0.98023,0.0,Pre-leak,2.06159246,2.06159246,1.0,False,0.08897,0.48023
34.7819,0.98014,0.98014,0.0,Pre-leak,1.8873632,1.8873632,1.0,False,0.08937,0.48014
36.0073,0.98032,0.98032,0.0,Pre-leak,1.8777893,1.8777893,1.0,False,0.08857,0.48032
37.0862,0.76446,0.98047,0.44957,CHA,0.89041474,0.91836933,0.969561,False,0.0879,0.48047
37.9269,0.61296,0.98058,0.76494,BAL,0.59910531,0.72742233,0.8236,False,0.0874,0.48058
34.1849,0.98005,0.98005,0.0,Pre-leak,1.43738141,1.43738141,1.0,False,0.08978,0.48005
38.0862,0.76454,0.9806,0.44957,CHA,0.80285019,0.82855502,0.968976,False,0.08731,0.4806
37.2759,0.59037,0.98049,0.81191,COL,0.58910896,0.75663155,0.778594,True,0.08779,0.48049
38.5892,0.98066,0.98066,0.0,Pre-leak,1.14294717,1.14294717,1.0,False,0.08702,0.48066
36.6361,0.98041,0.98041,0.0,Pre-leak,1.36771775,1.36771775,1.0,False,0.08818,0.48041
39.9488,0.98083,0.98083,0.0,Pre-leak,1.02006312,1.02006312,1.0,False,0.08626,0.48083
37.5862,0.5001,0.98053,0.99979,CTR,0.0001982,0.62309715,0.000318,True,0.0876,0.48053
40.4187,0.77115,0.98089,0.43615,CHA,0.67558034,0.69657536,0.96986,False,0.08601,0.48089
39.2631,0.98075,0.98075,0.0,Pre-leak,1.2849589,1.2849589,1.0,False,0.08664,0.48075
40.6464,0.57109,0.98091,0.85217,COL,0.3999189,0.55736282,0.71752,True,0.08589,0.48091
41.3563,0.69698,0.981,0.59048,CHA,0.5489733,0.5933307,0.92524,False,0.08552,0.481
41.4187,0.76476,0.981,0.44957,CHA,0.60007537,0.62197679,0.964787,False,0.08549,0.481
42.8271,0.7713,0.98116,0.43615,CHA,0.67267114,0.69411956,0.9691,False,0.08479,0.48116
43.561,0.55499,0.98124,0.88572,COL,0.44374848,0.67836461,0.654145,True,0.08444,0.48124
42.0785,0.98108,0.98108,0.0,Pre-leak,0.83946869,0.83946869,1.0,False,0.08516,0.48108
43.3271,0.5001,0.98121,0.99979,CTR,0.00018977,0.57691404,0.000329,True,0.08455,0.48121
40.9187,0.5001,0.98094,0.99979,CTR,0.00015172,0.47667086,0.000318,True,0.08575,0.48094
44.3217,0.98131,0.98131,0.0,Pre-leak,1.50090167,1.50090167,1.0,False,0.08409,0.48131
42.8133,0.79067,0.98116,0.39589,CHA,0.68229253,0.69969906,0.975123,False,0.0848,0.48116
43.8271,0.79719,0.98126,0.38247,CHA,0.90105512,0.91873012,0.980761,False,0.08432,0.48126
46.6845,0.98155,0.98155,0.0,Pre-leak,1.78377734,1.78377734,1.0,False,0.08305,0.48155
45.0957,0.98139,0.98139,0.0,Pre-leak,2.25296206,2.25296206,1.0,False,0.08374,0.48139
47.4998,0.81681,0.98162,0.34221,CHA,0.81905129,0.83213229,0.98428,False,0.08271,0.48162
45.8832,0.98147,0.98147,0.0,Pre-leak,2.38493491,2.38493491,1.0,False,0.08339,0.48147
48.0052,0.5001,0.98167,0.99979,CTR,0.00017468,0.49034328,0.000356,True,0.0825,0.48167
47.5052,0.80711,0.98162,0.36234,CHA,0.8117326,0.82651431,0.982116,False,0.0827,0.48162
49.2738,0.76195,0.98178,0.45628,CHA,0.49483536,0.51713035,0.956887,False,0.08199,0.48178
49.1733,0.84923,0.98177,0.27511,BRT,0.53331807,0.54048996,0.986731,False,0.08203,0.48177
50.032,0.57123,0.98184,0.85217,COL,0.37764563,0.53188067,0.710019,True,0.0817,0.48184
48.3293,0.60999,0.9817,0.77165,BAL,0.4044346,0.50389579,0.802616,False,0.08237,0.4817
50.2738,0.8105,0.98186,0.35563,CHA,0.68227148,0.69481476,0.981947,False,0.08161,0.48186
48.5052,0.75868,0.98171,0.46299,CHA,0.51666859,0.5401641,0.956503,False,0.0823,0.48171
49.7738,0.5001,0.98182,0.99979,CTR,0.00014917,0.44202021,0.000337,True,0.0818,0.48182
51.7947,0.98199,0.98199,0.0,Pre-leak,1.35721131,1.35721131,1.0,False,0.08105,0.48199
50.9058,0.98192,0.98192,0.0,Pre-leak,1.17681843,1.17681843,1.0,False,0.08138,0.48192
52.6993,0.5842,0.98206,0.82533,COL,0.60622586,0.80439876,0.753638,True,0.08073,0.48206
53.4703,0.85919,0.98212,0.25498,BRT,1.04723151,1.05413468,0.993451,False,0.08046,0.48212
52.4703,0.84619,0.98204,0.28182,BRT,0.95220692,0.96064015,0.991221,False,0.08081,0.48204
53.6196,0.98213,0.98213,0.0,Pre-leak,1.21005368,1.21005368,1.0,False,0.08041,0.48213
55.5087,0.98227,0.98227,0.0,Pre-leak,1.48510536,1.48510536,1.0,False,0.07978,0.48227
52.9703,0.5001,0.98208,0.99979,CTR,0.00024816,0.72761231,0.000341,True,0.08063,0.48208
54.5559,0.9822,0.9822,0.0,Pre-leak,1.89443357,1.89443357,1.0,False,0.08009,0.4822
56.4462,0.5001,0.98234,0.99979,CTR,0.00026232,0.70225013,0.000374,True,0.07948,0.48234
56.4781,0.5001,0.98234,0.99979,CTR,0.07497262,0.700761,0.106987,True,0.07947,0.48234
55.9462,0.87227,0.9823,0.22814,BRT,1.02750168,1.03261835,0.995045,False,0.07964,0.4823
58.847,0.83681,0.9825,0.30195,CHA,0.6588781,0.66737663,0.987266,False,0.07875,0.4825
56.9462,0.86261,0.98237,0.24827,BRT,0.89975944,0.90573049,0.993407,False,0.07932,0.48237
58.4679,0.98248,0.98248,0.0,Pre-leak,0.94333815,0.94333815,1.0,False,0.07886,0.48248
57.4643,0.98241,0.98241,0.0,Pre-leak,1.17905673,1.17905673,1.0,False,0.07916,0.48241
59.4889,0.52277,0.98254,0.95282,CTR,0.18360377,0.41995417,0.4372,True,0.07856,0.48254
59.347,0.5001,0.98253,0.99979,CTR,0.00015204,0.42409962,0.000359,True,0.0786,0.48253
60.3318,0.75916,0.9826,0.46299,CHA,0.48101843,0.50626968,0.950123,False,0.07831,0.4826
60.5278,0.60696,0.98261,0.77836,BAL,0.3805588,0.48601224,0.783023,False,0.07826,0.48261
61.3318,0.87255,0.98266,0.22814,BRT,0.8786066,0.88383123,0.994089,False,0.07803,0.48266
61.5848,0.98268,0.98268,0.0,Pre-leak,1.20807696,1.20807696,1.0,False,0.07796,0.48268
59.847,0.75914,0.98257,0.46299,CHA,0.45573859,0.48054304,0.948382,False,0.07845,0.48257
60.8318,0.5001,0.98263,0.99979,CTR,0.00016917,0.49885917,0.000339,True,0.07817,0.48263
